video_thumbnail_url,video_title,video_duration,is_boosted,tiktok_video_url,fastmoss_video_url,creator_name,creator_id,followers,creator_category,TikTok_creator_link,creator_fastmoss_url,publish_time,views,likes_90d,store_sales_volume_90d,store_sales_revenue_90d,store_product_count,duration_seconds
https://s.500fd.com/default/video_default.png,@medicube US Store #medicubepartner #combonationsensitivematureskin #medicubeskincare #springglowup #myfavoriteskincare ,00:00:22,No,https://www.tiktok.com/@shasta.jenks/video/7626029583929789709,https://www.fastmoss.com/en/media-source/video/7626029583929789709,shasta.jenks,shasta.jenks,13605,Beauty & Makeup,https://www.tiktok.com/@shasta.jenks,https://www.fastmoss.com/en/influencer/detail/7210440032837780523,2026-04-07 22:49:52(UTC-5),453.0,1,1,34.0,0,22
https://s.500fd.com/tt_video/ogHicppVI60Cqm4A0FOBfidIInAiDgtACVv0I7~tplv-tiktokx-origin.image,#medicubeeyemask#skincare#skincareroutine #contentcreator ,00:02:02,No,https://www.tiktok.com/@donnadrakehunt/video/7621679658941123870,https://www.fastmoss.com/en/media-source/video/7621679658941123870,Donna Drake Hunt,donnadrakehunt,3633,Health & Wellness,https://www.tiktok.com/@donnadrakehunt,https://www.fastmoss.com/en/influencer/detail/6623453631672057862,2026-03-27 05:29:52(UTC-5),536.0,1,1,19.9,0,122
https://s.500fd.com/tt_video/ogDEkIPBAA8DHZyijFfFnTDE8AqkeEIC5AMfAV~tplv-photomode-zoomcover:480:480.avif,if you’re a tired mom… you need these eyepatches!  🤍✨ #medicube #momlife #skincareroutine #viralfind #beautytok,00:00:08,No,https://www.tiktok.com/@caitlynjones/video/7626071449698110733,https://www.fastmoss.com/en/media-source/video/7626071449698110733,Caitlyn | Mom Finds & More 🗝️,caitlynjones,80635,Media & Entertainment,https://www.tiktok.com/@caitlynjones,https://www.fastmoss.com/en/influencer/detail/1684989,2026-04-08 01:32:16(UTC-5),418.0,4,1,18.9,0,8
https://s.500fd.com/tt_video/osIQibIAk2ALeI84bsjmOpeNeHGTHCPQwDPTIT~tplv-photomode-zoomcover:480:480.avif,milky toner wrapping mask and and serum in 30 minutes get glowy glass skin#momgiftideas #tiktokshopfinds #starterpicks #glowingskin @medicube global ,00:00:30,No,https://www.tiktok.com/@joyceaguilar01/video/7625685807038319885,https://www.fastmoss.com/en/media-source/video/7625685807038319885,joyful joyce🗝️,joyceaguilar01,9472,Health & Wellness,https://www.tiktok.com/@joyceaguilar01,https://www.fastmoss.com/en/influencer/detail/7101643124032652334,2026-04-07 00:36:12(UTC-5),617.0,8,1,34.0,0,30
https://s.500fd.com/tt_video/osf04AYKI0OcasNsOf6fYCQiAQRKKXDgf5Y0gf~tplv-photomode-zoomcover:480:480.avif,"“Adiós ojeras y bolsas 💤✨ Estos parches de ojos de Medicube hidratan, desinflaman y rejuvenecen tu mirada en solo 15 minutos. Colágeno, cafeína y PDRN para una piel descansada y radiante 💛”#ParchesDeOjos #Medicube #CuidadoDeLaPiel #Ojeras #PielHidratada     ",00:00:20,No,https://www.tiktok.com/@aliuskamromero/video/7621613127381093645,https://www.fastmoss.com/en/media-source/video/7621613127381093645,Aliuska I Hogar & Cocina,aliuskamromero,1231,Other,https://www.tiktok.com/@aliuskamromero,https://www.fastmoss.com/en/influencer/detail/6973791444234978310,2026-03-27 01:11:43(UTC-5),446.0,13,1,19.9,0,20
https://s.500fd.com/tt_video/oALZKrDTqATQIF1FIA6nfjPCqYVeQWb9IeGAQG~tplv-photomode-zoomcover:480:480.avif,Undereye patch. @medicube global ,00:00:51,No,https://www.tiktok.com/@brendabarrybeauty/video/7626068165629381919,https://www.fastmoss.com/en/media-source/video/7626068165629381919,brendabarrybeauty❌,brendabarrybeauty,30394,Beauty & Makeup,https://www.tiktok.com/@brendabarrybeauty,https://www.fastmoss.com/en/influencer/detail/6889086613621687301,2026-04-08 01:19:31(UTC-5),522.0,4,1,18.9,0,51
https://s.500fd.com/tt_video/o8HfgUkjkIi1JeGYHyALPpqCgeXmTXICVcoHnA~tplv-photomode-zoomcover:480:480.avif,Esta mascarilla lechosa con colageno no deja de sorprenderme cada vez que la uso #glassskin #collagenserum #facemask #medicubeskincare #koreanskincare ,00:01:12,No,https://www.tiktok.com/@fannyselfcare_/video/7625631148651089166,https://www.fastmoss.com/en/media-source/video/7625631148651089166,𝐅𝐚𝐧𝐧𝐲| 🏆,fannyselfcare_,7536,Beauty & Makeup,https://www.tiktok.com/@fannyselfcare_,https://www.fastmoss.com/en/influencer/detail/6814604290776269829,2026-04-06 21:04:16(UTC-5),605.0,26,1,34.0,0,72
https://s.500fd.com/default/video_default.png,It’s a vibe #latinasdoitbest #relationships #singlemomsoftiktok #boricua🇵🇷 #fypツ ,00:00:07,No,https://www.tiktok.com/@hey.its.kiomy/video/7620226757106404638,https://www.fastmoss.com/en/media-source/video/7620226757106404638,Kiomy 😘,hey.its.kiomy,46452,Personal Blog,https://www.tiktok.com/@hey.its.kiomy,https://www.fastmoss.com/en/influencer/detail/6752487305598632965,2026-03-23 07:32:00(UTC-5),229.0,32,1,19.9,0,7
https://s.500fd.com/default/video_default.png,I only want to buy stuff that makes me 𝒫𝓇ℯ𝓉𝓉𝒾ℯ𝓇 💅🏽 #Medicube #GlowUp #LetsGetPretty ,00:00:14,No,https://www.tiktok.com/@kimmydollxo/video/7626058370490862861,https://www.fastmoss.com/en/media-source/video/7626058370490862861,𝒦𝒾𝓂𝓂𝓎 𝒟ℴ𝓁𝓁 🎀,kimmydollxo,158820,Fashion & Accessories,https://www.tiktok.com/@kimmydollxo,https://www.fastmoss.com/en/influencer/detail/6811590186176087046,2026-04-08 00:41:31(UTC-5),344.0,25,1,18.9,0,14
https://s.500fd.com/tt_video/oYImQEIrjN4pAMGTWLOvebef6SLIRIUAqDjoCp~tplv-photomode-zoomcover:480:480.avif,#medicube #medicubemilkyglow ,00:00:56,No,https://www.tiktok.com/@marthamorejon0/video/7625468496259992862,https://www.fastmoss.com/en/media-source/video/7625468496259992862,Martha Morejon,marthamorejon0,1788,Other,https://www.tiktok.com/@marthamorejon0,https://www.fastmoss.com/en/influencer/detail/6811591741175694341,2026-04-06 10:32:32(UTC-5),700.0,12,1,34.0,0,56
https://s.500fd.com/tt_video/ooBW1OAvqIQUQZemAIE5QZQ9eXRFfFQUWGCGfL~tplv-photomode-zoomcover:480:480.avif,multitasking  #medicube #over40skincare #collagen #undereyecircles #eyepatch @medicube global ,00:00:14,No,https://www.tiktok.com/@indraniphillips/video/7619725033589591326,https://www.fastmoss.com/en/media-source/video/7619725033589591326,Almost50Baddie,indraniphillips,2464,Other,https://www.tiktok.com/@indraniphillips,https://www.fastmoss.com/en/influencer/detail/6826522974780589062,2026-03-21 23:05:11(UTC-5),608.0,1,1,19.9,0,14
https://s.500fd.com/tt_video/ooa7BCIQEEtZ4dtEXsPgUBRvliGAAiBBb9UIi~tplv-photomode-zoomcover:480:480.avif,@medicube US Store выпустил новые патчи #eyepatches #skincare #medicube #kbeauty #patches ,00:00:26,No,https://www.tiktok.com/@sizovusa/video/7625727510239644942,https://www.fastmoss.com/en/media-source/video/7625727510239644942,AndreyValenta🇺🇸,sizovusa,126774,Health & Wellness,https://www.tiktok.com/@sizovusa,https://www.fastmoss.com/en/influencer/detail/7370790870638150699,2026-04-07 03:18:08(UTC-5),735.0,18,1,18.9,0,26
https://s.500fd.com/tt_video/osU7FBadVAAHDioCLiPcjnPEzESCvBJLyRa0I~tplv-tiktokx-origin.image,#skincare #Fyp #cuidadodelapiel #fyp ,00:00:30,No,https://www.tiktok.com/@ruttybellezamascotas/video/7625245109042433311,https://www.fastmoss.com/en/media-source/video/7625245109042433311,Ruty make up 🐚🐚🐚,ruttybellezamascotas,2548,Other,https://www.tiktok.com/@ruttybellezamascotas,https://www.fastmoss.com/en/influencer/detail/7049702010749027333,2026-04-05 20:06:21(UTC-5),900.0,25,1,37.0,0,30
https://s.500fd.com/tt_video/ocv9hNaSDSg9E4UCJ3mn72zBbiaAbBViIINSy~tplv-tiktokx-origin.image,"@Medicube PDRN pink Caffeine #collagen ##eyepatch🩷 to the rescue. Taking care of your puffy, fine lines, and hollow under eyes all in one product. ##skincare##skincarerecommendations ",00:00:15,No,https://www.tiktok.com/@helenap281/video/7619471813478731021,https://www.fastmoss.com/en/media-source/video/7619471813478731021,🩵 Angela 🩵,helenap281,5658,Other,https://www.tiktok.com/@helenap281,https://www.fastmoss.com/en/influencer/detail/7539591315026363447,2026-03-21 06:42:27(UTC-5),521.0,3,1,19.9,0,15
https://s.500fd.com/tt_video/o0gHpiBqICBpBIiSJUiE4BAAABHwzwSb60f4V3~tplv-photomode-zoomcover:480:480.avif,Replying to @sukunastoy #medicube #eyecreams #over50 #over40 #medicubeskincare ,00:00:51,No,https://www.tiktok.com/@roxytiktokshopaffiliate/video/7625723493379853581,https://www.fastmoss.com/en/media-source/video/7625723493379853581,"🫧 ROXANNE 40+BSN,RN 🫧",roxytiktokshopaffiliate,10291,Fashion & Accessories,https://www.tiktok.com/@roxytiktokshopaffiliate,https://www.fastmoss.com/en/influencer/detail/7375744462150861867,2026-04-07 03:02:18(UTC-5),680.0,8,1,18.9,0,51
https://s.500fd.com/default/video_default.png,#parati #tiktokshopcreatorpicks #mascarillaparacara,00:00:48,No,https://www.tiktok.com/@noelia.rubio64/video/7623901135585185038,https://www.fastmoss.com/en/media-source/video/7623901135585185038,NOELIA RUBIO,noelia.rubio64,8288,Other,https://www.tiktok.com/@noelia.rubio64,https://www.fastmoss.com/en/influencer/detail/7495897711578858538,2026-04-02 05:10:33(UTC-5),470.0,10,1,31.35,0,48
https://s.500fd.com/tt_video/oEEplGFmse9sGLeQPhyGgABRIPOeAB9YeIXOI2~tplv-photomode-zoomcover:480:480.avif,tik tok shop sample haul ⭐️⭐️ #tiktokshopaffiliateprogram #tiktokshop #freesamplestiktokshop #freesample ,00:01:04,No,https://www.tiktok.com/@emilyfearonnn/video/7619441836758813965,https://www.fastmoss.com/en/media-source/video/7619441836758813965,em,emilyfearonnn,1529,Other,https://www.tiktok.com/@emilyfearonnn,https://www.fastmoss.com/en/influencer/detail/6860327582485054469,2026-03-21 04:46:01(UTC-5),412.0,19,1,19.9,0,64
