creator,creator_profile_url,video_url,video_id,description,duration,views,likes,comments,ROAS,ad_spend,duration_seconds
terreetaughtme,https://www.tiktok.com/@6633270361269452806,https://www.tiktok.com/@/video/7622096726802959629?_r=1,7622096726802959360,YOU HATE LOTION?! Okay girl but have tried a body serum instead 🤭 @Saltair Body #fyp #viral #showerroutine #bodycareroutine ,54s,17000,591,6,4.35,8.51,54
talia.beentrill,https://www.tiktok.com/@6782056010276537350,https://www.tiktok.com/@/video/7625751957386317087?_r=1,7625751957386316800,@EBIN NEW YORK 💕#ebin #wigtok #hairtok #wiginstall ,16s,172900,4158,22,4.35,273.54,16
dealsseller,https://www.tiktok.com/@7553904117186708535,https://www.tiktok.com/@/video/7625090383906639117?_r=1,7625090383906638848,If you have lower back pain or sciatic pain. The goal is simple: creat space again 🤗#painrelief #lowerbackpain #sciaticapain #herniateddisc #backpain ,38s,37300,85,1,4.17,23.29,38
smittyyyyyyy1,https://www.tiktok.com/@6640095881759981574,https://www.tiktok.com/@/video/7626144099460009247?_r=1,7626144099460008960,this is my favorite lip liner is such a pretty shade and I will probably end up getting that shit tatted on my lips #lipliner #lips #liplinerhack #lipcombo #mauvelip ,41s,9731,56,4,3.7,34.02,41
influencedbymichelle,https://www.tiktok.com/@7151209970861261870,https://www.tiktok.com/@/video/7624276347464043789?_r=1,7624276347464043520,I bought this curler from @SHEGLAM HAIR US and I am loving it!  #curler #curlingiron #haircurler #SHEGLAMHAIR #tiktokshopcreatorpicks @SHEGLAM ,64s,1025,5,0,5.88,6.8,64
tarit.ours1,https://www.tiktok.com/@7612653789254616077,https://www.tiktok.com/@/video/7626073953383075086?_r=1,7626073953383074816,Welp lol guess I better find someone to kiss with these things! #lipplumper #lipfiller #drmelaxin #koreanbeauty #plumpinglipgloss ,76s,52648,124,5,4.0,113.94,76
hedda.josh,https://www.tiktok.com/@7522451819370824718,https://www.tiktok.com/@/video/7621195834549488909?_r=1,7621195834549488640,"5-Piece Eyeliner Stamp Set from TikTok: Waterproof, Cute & Double-Ended Fun!#eyelinerstamp #eyeliners #eyelinerstamp2in1 #eyemakeup #eyeliner  ",33s,4552,37,2,0.0,0.0,33
pusvxsb,https://www.tiktok.com/@7553988722321376311,https://www.tiktok.com/@/video/7626725385874509070?_r=1,7626725385874508800,Great deal #tiktokshop #fyp #tiktokshopblackfriday #tiktokshopnewyearnewme #tiktokmademebuyit  ,15s,825,0,0,6.67,2.25,15
holly63928,https://www.tiktok.com/@7556127070666966071,https://www.tiktok.com/@/video/7621683121523674399?_r=1,7621683121523674112,#tiktokmademebuyit #fyp #youneedthis #youshouldknow #TikTokShop,9s,8514,11,0,3.85,11.75,9
qiuqiu.us0,https://www.tiktok.com/@7537628847463089165,https://www.tiktok.com/@/video/7612974744857545997?_r=1,7612974744857545728,It's really suitable to get this product.#TikTok#tiktokshop #fypシ ,7s,15300,39,1,4.17,355.68,7
shuayb_jhur,https://www.tiktok.com/@6744474482234868742,https://www.tiktok.com/@/video/7614607296898845966?_r=1,7614607296898845696,Snail Mucin  Essentials Bundle<<<#somalitiktok #shuayb_jhurtiktokshop #somaliminnesota ,33s,18700,91,0,3.45,92.79,33
naileditwithkimberly,https://www.tiktok.com/@6812344556496159749,https://www.tiktok.com/@/video/7625964661808188685?_r=1,7625964661808188416,"I test so you don’t have to… 👀💅 I get asked all the time which press-on brands work best for wider nail beds, so I compared 9 different brands using their widest sizes—and the results might surprise you. 🏆 Clear winner: BT Artbox 🔥 Close runners-up: Chill Tips + KLEO KOLOR (yes… they’re that close) Honestly? Most of these brands are stepping it up on size inclusivity, but a few are definitely doing it better. If you’ve struggled with press-ons fitting sidewall to sidewall… this is the video you’ve been waiting for. 👇 Tell me your go-to brand (especially if you have wider nail beds!) #pressonnails #pressonnailreview #nailsforwidenailbeds #btartbox #k­leokolor",251s,1105,45,11,0.0,0.0,251
perfectlykelsey,https://www.tiktok.com/@6937747160805032965,https://www.tiktok.com/@/video/7626444394761030925?_r=1,7626444394761030656,Gel in my 🔗s! #tiktokshopcreatorpicks #tiktokshopspringglowup #SpringStatements #refreshedlook #hairtok ,32s,104900,8815,54,4.35,153.18,32
takemeawayelita,https://www.tiktok.com/@7384507911383041067,https://www.tiktok.com/@/video/7626479121136241934?_r=1,7626479121136241664,"This PDRN mask is designed to achieve a plump and radiant complexion. It uses PDRN and exosomes to firm skin and improve elasticity while providing a skin smoothing, pore refining effect that stimulates painless skin planing treatment. #facemask #pdrn #koreanskincare #antiaging #glassskin ",36s,519,47,35,3.57,8.39,36
see_shop_buy,https://www.tiktok.com/@7522942789282595854,https://www.tiktok.com/@/video/7623981015043788046?_r=1,7623981015043787776,no more embarrassing feet. professional pedicure look for your toes every time. Save money too! #pressonnails #pressons #pedicure #tiktokshopspringglowup #pedicurekit ,37s,5497,55,3,5.0,15.0,37
berkfeinauer,https://www.tiktok.com/@6809157246942643206,https://www.tiktok.com/@/video/7626464847496088846?_r=1,7626464847496088576,This is NOT sponsored! Just a genuine love for a product that helped with my confidence postpartum 🩷 #stretchmarks #postpartum #stretchmarkremoval #postpartumbody #momlife @Murad Skincare ,117s,4275,45,0,4.0,23.0,117
flybossybee,https://www.tiktok.com/@7104858118592562218,https://www.tiktok.com/@/video/7626485643350117662?_r=1,7626485643350117376,lips been DRY? this the one 👀💋 #laka #lipmask #drylips #lipcare #tiktokshopcreatorpicks ,25s,4378,29,1,5.89,9.15,25
ulia_khara,https://www.tiktok.com/@7314217367864542251,https://www.tiktok.com/@/video/7626265430063189278?_r=1,7626265430063188992,Делаем Кире укладку на фотосессию в школу классной плойкой  #американскаяшкола #жисньвсшашколавсша #детивсша #тиктокдети,172s,34200,1720,37,4.35,183.95,172
lesliesoldano,https://www.tiktok.com/@7332240100581704747,https://www.tiktok.com/@/video/7626511144525597966?_r=1,7626511144525597696,Summer Fridays lip butter balm in toasted marshmallow is hereee #summerfridays #lipbutterbalm #toastedmarshmallow ,14s,1218,10,0,3.45,7.83,14
tekiyagc,https://www.tiktok.com/@6663632635015741446,https://www.tiktok.com/@/video/7626774843127647519?_r=1,7626774843127647232,I wish I had took the initiative to get these bad boys sooner @Unbrush  #unbrushreview #unbrush #fypシ゚viral #naturalhair #curlyhair ,32s,664,28,2,0.0,0.0,32
user9683921486607,https://www.tiktok.com/@7577983776221316109,https://www.tiktok.com/@/video/7624468309760593165?_r=1,7624468309760592896,"Jimerito Honey For Eyes, Refreshing, Moisturizing And Soothing Eye Drops For Dry And Astringent Eyes.#eyes #eyehealth #honey #eyedrops #TikTokshopHolidayHaul ",24s,1626,2,0,3.99,3.18,24
justbejewels,https://www.tiktok.com/@147171102258221056,https://www.tiktok.com/@/video/7626183404907744526?_r=1,7626183404907744256,So many scams on here! Finally- one that’s good! #sensitiveteeth #whiteningstrips #teethwhitening ,94s,9159,59,12,3.45,23.19,94
shartlitlol,https://www.tiktok.com/@7554216667217511437,https://www.tiktok.com/@/video/7625385263732133134?_r=1,7625385263732132864,whimsical ✨🌱 @Kisslily #whimsical #fairylashes #kisslilylashes #lashclusters #brownlashes ,17s,2182,44,3,0.0,0.0,17
fatherrlex,https://www.tiktok.com/@6649545477367169030,https://www.tiktok.com/@/video/7623894861401345293?_r=1,7623894861401345024,“Lexi you never stop talking about this mask” I KNOW BUT ITS SO GOOD😭 #skincare #makeup #tiktokshop #tiktokshopreveiw #tiktokshopfinds ,90s,225900,3006,38,4.76,29.94,90
