creator,creator_profile_url,video_url,video_id,description,duration,views,likes,comments,ROAS,ad_spend,duration_seconds
rackolickzz,https://www.tiktok.com/@6955912614632326150,https://www.tiktok.com/@/video/7626081082210848031?_r=1,7626081082210847744,A lip care routine after doing it is a must #liproutine #lipcare #lipserum #darklips ,43s,64700,112,9,5.56,48.96,43
paradis.finds,https://www.tiktok.com/@7533579349096203319,https://www.tiktok.com/@/video/7626743509889993997?_r=1,7626743509889993728,Colourpop gel liner!!!  So many colour's to choose from.  #colourpop #gelliner #purpleliner #hazeleyes #makeup ,70s,527,3,0,4.55,2.99,70
health_wellnessgirl,https://www.tiktok.com/@7282418882157397034,https://www.tiktok.com/@/video/7626460891357170975?_r=1,7626460891357170688,Crazy sale on the R&Co Dry Shampoo Paste🤫 #Randco #dryshampoo #tiktokshop ,15s,718,1,0,0.0,0.0,15
ekndra,https://www.tiktok.com/@6812686962114511878,https://www.tiktok.com/@/video/7625709556768722206?_r=1,7625709556768721920,"The machine is heated to loosen the build up of fluids, vibration to break everything down and make it easier to move to the lymph nodes and low level red light to tighten and tone th skin overtime. Use for five minutes a day consistently for incredible results. #y#yuonry",105s,65600,664,14,3.57,177.16,105
luxecosmetics_shop,https://www.tiktok.com/@7519759796015891511,https://www.tiktok.com/@/video/7626070678848015647?_r=1,7626070678848015360,Maquillador profesional desvela los mejores secretos de maquillaje,221s,87700,909,13,4.55,750.37,221
elsyayala34,https://www.tiktok.com/@7190755733578368043,https://www.tiktok.com/@/video/7626441453450874143?_r=1,7626441453450873856,Respuesta a @🐸🐸🐸Ranita🐸🐸🐸 #pasta dental# ,37s,11300,67,3,5.88,26.5,37
madisonkeith16,https://www.tiktok.com/@6582222139754758149,https://www.tiktok.com/@/video/7626157964210081037?_r=1,7626157964210080768,#burstdentalfloss #dentalhygiene #expandablefloss ,24s,704,19,0,0.0,0.0,24
maymoves,https://www.tiktok.com/@6842259937386087430,https://www.tiktok.com/@/video/7626457811022613773?_r=1,7626457811022613504,Entrepreneurship has shaped who I am In the best way. ❤️ ,5s,6218,119,2,4.17,60.48,5
holisticglowupp,https://www.tiktok.com/@7424740923243775018,https://www.tiktok.com/@/video/7624574018271612174?_r=1,7624574018271611904,"when Koreans with plump skin don’t gatekeep filler-mimicking skincare hacks, we listen 🙌🏼 Medicube PDRN + NAD + Volufilline plumping balm for the ladies who want skin as juicy as their tatas ;) #pdrn #filler #medicube #antiage ",92s,5660,47,1,6.67,2.55,92
alexandraleanne,https://www.tiktok.com/@6873185833077457925,https://www.tiktok.com/@/video/7624963414254832910?_r=1,7624963414254832640,Insane deal right now! Pink pdrn and turmeric brightening mask bundle. Perfect gift idea for Mother’s Day!  #medicube #sheetmask #koreanskincare #skincarehacks #skincare,41s,630,7,1,0.0,0.0,41
leobaby75,https://www.tiktok.com/@6771603249587880966,https://www.tiktok.com/@/video/7626441409209371935?_r=1,7626441409209371648,Fresh Breath #fyp #tiktokshopspringglowup ,34s,4272,154,3,3.45,81.16,34
gabyhv31,https://www.tiktok.com/@6807052980060603398,https://www.tiktok.com/@/video/7623861742140951829?_r=1,7623861742140951552,"La cinta se silicona me está ayudando mil, pero para los que me dicen que no es cicatriz de apéndice si no de cesárea aquí van a ver la de mi cesárea en horizontal que ya casi ni se nota! #cicatrizqueloide #cicatrizcesarea #cicatriszapendice #cintasilicona #comodisminuircicatriz",66s,8640,52,1,0.0,0.0,66
vidadejannet,https://www.tiktok.com/@6930407259093353477,https://www.tiktok.com/@/video/7626516191904943391?_r=1,7626516191904943104,so cutesy but still baddie 😌 LOVE THIS KIT RN (STYLE: Y01) #cateyeclusterlashes #wispycateye #lashclusters #wispylashextensions #lashkit ,24s,9002,348,12,3.45,198.75,24
francissuazor,https://www.tiktok.com/@7402020475184989227,https://www.tiktok.com/@/video/7622937248169725198?_r=1,7622937248169724928,#saline #tiktokshopcreatorpicks ,43s,17500,28,0,4.54,19.79,43
marioshopss,https://www.tiktok.com/@7552436651231183885,https://www.tiktok.com/@/video/7624653260502142238?_r=1,7624653260502141952,This has saved me so much time #carpe #deodorant #hyperhydrosis #sweat ,36s,1324,0,0,6.67,2.47,36
user8113015712607,https://www.tiktok.com/@7207175030530458670,https://www.tiktok.com/@/video/7617955384027860254?_r=1,7617955384027859968,Herbal Soothing Cream  #Pricesmayvary #tiktokshopcreatorpicks ,15s,7873,14,1,4.17,7.21,15
dustibraschler,https://www.tiktok.com/@7058054874656343087,https://www.tiktok.com/@/video/7616853802490023198?_r=1,7616853802490022912,"Try the Celimax Deep Wrinkle Home Treatment Retinal & Retinol Booster Shot, a Korean skincare serum designed to support smoother-looking skin, refined pores, and a more even skin tone. This skin renewal booster with retinal and retinol is perfect for anyone building a K-beauty skincare routine focused on texture, glow, and pore care. @celimax US Store #skincaretok #kbeauty #celimax #retinol #retinal  Disclaimer: Final price,shipping costs, coupons, and discounts may vary and are subject to change at any time. Always check the TikTok Shop listing for the latest details. Video posted on 3/13/26. ",18s,2155,7,0,0.0,0.0,18
shopping_tiktok_shop,https://www.tiktok.com/@6858277600046826502,https://www.tiktok.com/@/video/7605766354251140383?_r=1,7605766354251140096,"Masajeador facial y de cuello con luz LED y varios modos ✨ Recargable por USB, ligero y fácil de usar en casa. Me gusta incluirlo en mi rutina cuando quiero unos minutos de relajación y cuidado personal. Las luces cambian según el modo que elijas y combina masaje suave en un solo dispositivo. Disponible aquí mismo. #BeautyFinds #SelfCareRoutine #SkincareGadgets #supersport #supersports ",19s,8473,60,3,5.89,1.49,19
icebreakerbeauty,https://www.tiktok.com/@6776225926298141701,https://www.tiktok.com/@/video/7625131499213442335?_r=1,7625131499213442048,I know YOU know what I’m talkin about. . . #piercingtok #piercingcleaningstring #cleanpiercing #selfcaretips #tiktokshop ,28s,58900,745,17,3.84,2.75,28
dolahaircare_,https://www.tiktok.com/@7270724436906935338,https://www.tiktok.com/@/video/7616637254441635086?_r=1,7616637254441634816,"This Batana oil got my scalp moisturized and my hair looking thick. If your hair been dry, thinning or breakage… you might need this. Don’t sleep on it #batanaoil #hairgrowthjourney #naturalhairtiktok ",32s,40500,267,5,6.67,87.62,32
gnadoshop,https://www.tiktok.com/@7505545742535656479,https://www.tiktok.com/@/video/7623586852158590238?_r=1,7623586852158589952,,9s,51800,320,0,3.85,153.01,9
bambinoootalks,https://www.tiktok.com/@6972292333409420293,https://www.tiktok.com/@/video/7624964443096632606?_r=1,7624964443096632320,,60s,61700,144,20,4.55,34.8,60
kganga20,https://www.tiktok.com/@6836312516919772166,https://www.tiktok.com/@/video/7625402630801493261?_r=1,7625402630801492992,4 piece makeup set #nepalitiktok #makeup #fyp #tiktokshop #makeupset ,24s,664,38,24,0.0,0.0,24
kriz0610,https://www.tiktok.com/@6908738067511755781,https://www.tiktok.com/@/video/7626163469028527391?_r=1,7626163469028527104,Adiós a la acumulación de cera y la picazón en los oídos. NeilMed WaxOut Plus Ear Cleaning kit. Gran descuento. Envio gratis‼️ DISCLAIMER* precio mostrado es el vigente al momento de la grabación y puede cambiar. Las promociones pueden tener restricciones o disponibilidad limitada. ##Tiktokshopfalldealsforyou#boostwithgoliopcreatorpicks #tiktokshopstockup #itchyears #earwaxremoval ,8s,745,2,0,5.26,1.52,8
beauty_with_bri,https://www.tiktok.com/@63977263544696833,https://www.tiktok.com/@/video/7626219824401763615?_r=1,7626219824401763328,@Tencoco Store #tiktokshopcreatorpicks #diynails #nailinspo #gelpolish #nailkit ,111s,50200,814,8,4.17,537.56,111
deal.buzz,https://www.tiktok.com/@7552995557749670925,https://www.tiktok.com/@/video/7626144628525288734?_r=1,7626144628525288448,"#TikTokShop #FlashSale #TikTokShopCreatorPicks Disclaimer: Final Price, Shipping Costs, Coupons, and Discounts are subject to change and vary at any time. Always check the TikTok Shop listing for updated pricing.",11s,693,1,0,0.0,0.0,11
chantlycaree,https://www.tiktok.com/@6817923907439002630,https://www.tiktok.com/@/video/7626472223708073230?_r=1,7626472223708072960,I got a six pack of the @Sand Cloud and washcloth 🛁🫧🚿 #sandcloudwashcloth #sandcloud #washcloth #washrag #bathroomessentials ,36s,1568,25,4,5.26,4.37,36
makaylaafinds,https://www.tiktok.com/@7518287780712629261,https://www.tiktok.com/@/video/7626476254564240670?_r=1,7626476254564240384,#BodyConfidence #SelfCare #bodyoilroutine #skinfirming ,70s,1122,4,0,3.85,32.63,70
thainadoitbest,https://www.tiktok.com/@6758031462887851013,https://www.tiktok.com/@/video/7626458757240753421?_r=1,7626458757240753152,If u lighter hair this is perfect for u 🥰 @VEYESBEAUTY #veyesbeauty #veyeslashes #lashclusters #lashtutorial #lashestutorial ,43s,15900,541,4,5.26,4.37,43
riri.kitchen2022,https://www.tiktok.com/@6741190704817439749,https://www.tiktok.com/@/video/7626472740731571469?_r=1,7626472740731571200,#firstaidkit#tiktokshopfinds ,28s,7616,38,0,4.76,97.32,28
ashleyandersongro,https://www.tiktok.com/@6737782883224585221,https://www.tiktok.com/@/video/7626185800383745293?_r=1,7626185800383745024,"“Wait… why is my pimple FLAT overnight?! 😳” “Y’all… I finally tried these hydrocolloid pimple patches with tea tree + CICA… and I get the hype now. First of all—these are basically invisible. Like I can wear them out and nobody even notices. Second—they actually WORK. You put it on a breakout and it literally pulls everything out while protecting your skin. And the tea tree + CICA combo? That’s calming the redness AND helping it heal faster—so you’re not left with a dark mark after. Also… you get 132 patches?! That’s insane for the price.” “Let me show you—just stick it right on… press… and leave it overnight.” “Tell me why I woke up and it was GONE… like flattened and healed.” “If you struggle with breakouts, you NEED these in your routine. Grab them from my TikTok Shop before they sell out.” #tiktokshop #a#tiktokshopk#acnepatchh#skincaremusthaveson @Michael Gros ❌ @legushe  ",53s,1033,6,2,0.0,0.0,53
mo__styles,https://www.tiktok.com/@6921783393714226182,https://www.tiktok.com/@/video/7626126768633695501?_r=1,7626126768633695232,is your festival hair ready? my fav quick way to get festival waves with @wavytalkofficial Power Wave 💕 #wavytalk #festivalessentials #weeklydeals  #hairtutorial #hairstyle ,41s,858500,40100,52,6.67,1031.74,41
outf1tnspo,https://www.tiktok.com/@7163872948046414894,https://www.tiktok.com/@/video/7626248927074995487?_r=1,7626248927074995200,Yummy boujie marshmallow but make it $19.99 🤤😍✨ #kayali #kayaliperfume #yummyboujiemarshmallow ,31s,4203,16,2,3.45,39.55,31
kitsch,https://www.tiktok.com/@6700299932774171653,https://www.tiktok.com/@/video/7626482528651627806?_r=1,7626482528651627520,For your “I do” crew 💖 ⁠ Little luxuries for your big day 💕 ⁠ What would you add to your bridesmaid boxes? ✨ #bridesmaidboxes #bridalparty #2026bride #kitsch #haircare @its_madisonlee ,55s,7211,40,2,4.12,88.64,55
kellylandsman,https://www.tiktok.com/@6757222124756370438,https://www.tiktok.com/@/video/7624362125011553567?_r=1,7624362125011553280,Merit’s eyeshadow in Social 🤎 @MERIT Beauty #merit #eyeshadow #eyeshdowtutorial #tiktokshopcreatorpicks ,17s,30500,374,3,4.35,251.16,17
ms.krexy,https://www.tiktok.com/@6597346565240176645,https://www.tiktok.com/@/video/7620559284413271309?_r=1,7620559284413271040,Cleaning Floss for your nose #tiktokshopcreatorpicks #piercingtok #noserings #piercings #greenish ,12s,2400000,56700,257,4.35,19.43,12
damaristorquetti2,https://www.tiktok.com/@6749928454353175558,https://www.tiktok.com/@/video/7626513297633725709?_r=1,7626513297633725440,"The Beauty of Joseon Revive Eye Serum (Ginseng + Retinal) is doing EVERYTHING: – retinal = smoother under eyes, less fine lines 💫 – ginseng = brighter, more energized skin 🌿 – combo = hydrated, firm & glowy eye area ✨ It’s lightweight, absorbs fast, and actually makes you look well-rested (even when you’re not 😭) this is your sign to upgrade your eye care 🤍 #beautyofjoseon #retinal #darkcircles #undereyes #glowyskin   @Beauty of Joseon ",34s,1902,93,4,3.7,43.4,34
thatgirlfinds101,https://www.tiktok.com/@7472003571288245279,https://www.tiktok.com/@/video/7624672220538866975?_r=1,7624672220538866688,Replying to @remiid @nuorganic #lashserums #lashserum #foryoupage #fyp #lashesoftiktok ,46s,3415,52,4,0.0,0.0,46
the.skinnurse,https://www.tiktok.com/@7492015390085088298,https://www.tiktok.com/@/video/7624598224350874894?_r=1,7624598224350874624,can’t believe they came out with this 😳,69s,66900,256,12,3.57,180.88,69
theneuromom,https://www.tiktok.com/@7422689867463558186,https://www.tiktok.com/@/video/7617148289929973023?_r=1,7617148289929972736,#fyp #mouthwashing#dentalcare,38s,103300,454,9,4.55,224.29,38
4n913_,https://www.tiktok.com/@129146203602223104,https://www.tiktok.com/@/video/7612275276726160653?_r=1,7612275276726160384,#bodywash #exfoliatinggel #exfoliationbodywash #exfoliate #exfoliator ,7s,4075,6,0,4.77,4.15,7
conversionbean,https://www.tiktok.com/@7053852204692554798,https://www.tiktok.com/@/video/7626281262700858654?_r=1,7626281262700858368,This one smell good af 🔥 #mensfragrance #fragrancetiktok #oluck #oluckcologne ,37s,15200,485,2,0.0,0.0,37
no_crap_in_it,https://www.tiktok.com/@7380043512402150446,https://www.tiktok.com/@/video/7626214181364141342?_r=1,7626214181364141056,"4 oils work together to soften, dry, and support shrinking skin tags over time (they fall off in about 4-6 weeks).  -Castor oil -Tea Tree oil -Oregano oil -Lemon oil  The Taggy Roller for Skin Tags only takes seconds to apply.  Who knew skin tag removal could be so simple?  #skintag #skincare #skincaretips ",18s,105800,260,8,5.26,37.24,18
micfavefinds,https://www.tiktok.com/@7533684134603211789,https://www.tiktok.com/@/video/7626243160288546061?_r=1,7626243160288545792,If you struggle with dark armpits or hyperpigmentation- these viral Korean toner pads might be for you 🙌 love how these brighten my under arms and helped any blemishes on my body #darkunderarms #tonerpads #koreanskincare #tiktokshopcreatorpicks,89s,3996,14,3,5.0,8.99,89
taylor_conzelman,https://www.tiktok.com/@6934555188162331654,https://www.tiktok.com/@/video/7626072469597687070?_r=1,7626072469597686784,I’m obsessed with this body retinol #nontoxic #skincare #retinol #bodyretinol #bodycare ,35s,211600,4930,67,4.17,193.44,35
tilolalove,https://www.tiktok.com/@6552681280021692421,https://www.tiktok.com/@/video/7626297341489728799?_r=1,7626297341489728512,#tiktokcreatorpicks #summervibes #tiktokshopspringglowp #tiktokshopsummerturnup #gurunanda ,33s,541,10,2,0.0,0.0,33
amanda.shelner,https://www.tiktok.com/@6849086606722778118,https://www.tiktok.com/@/video/7624604563743526175?_r=1,7624604563743525888,"The Kitsch Plastic Hair Brush is such a great everyday brush 🙌 It’s completely plastic, so it won’t get moldy or collect dust and product buildup like other brushes. I love using it for slick back ponytails, and it’s also perfect for little girls because it’s easy to clean and super durable. #TikTokShopRestock #AprilRestock #KitschHair #SlickBackHair #HairTools",38s,2089,19,0,5.27,1.78,38
tiktokdealz2026,https://www.tiktok.com/@7180379678715348014,https://www.tiktok.com/@/video/7626130683009715470?_r=1,7626130683009715200,,15s,1580,4,0,4.0,7.75,15
mariii..ela,https://www.tiktok.com/@6611882761077850118,https://www.tiktok.com/@/video/7626534441246002445?_r=1,7626534441246002176,#tiktokshopstockup #fypシ ,19s,1043,6,0,4.55,3.96,19
my.daily.steals,https://www.tiktok.com/@7170558986213803050,https://www.tiktok.com/@/video/7626139024398339342?_r=1,7626139024398339072,finally got it cause it’s been sold out foreverrr #drmelaxin #lipplumper ,15s,80800,929,6,4.17,241.55,15
leyanetcalixto,https://www.tiktok.com/@7167274814737925166,https://www.tiktok.com/@/video/7626141019553271054?_r=1,7626141019553270784,#tiktoklive #livehighlights #tiktokshopcreatorpicks #wartremoval 【BOGO】Ragkun Reagent Remover f,35s,8456,12,5,5.88,83.35,35
egybestie,https://www.tiktok.com/@7116322510907524138,https://www.tiktok.com/@/video/7622014789140745502?_r=1,7622014789140745216,W H Y is the brown shade of this mascara so hard to find ??? #lorealparispartner #mascara #tiktokshopcreatorpicks #greenish #tiktokshopspringglowup @loréal paris usa ,28s,23000,113,2,5.56,67.81,28
dollyday800,https://www.tiktok.com/@6933924699109934085,https://www.tiktok.com/@/video/7626565837947702559?_r=1,7626565837947702272,#travel #traveltoothbrush #freshbreath #tiktokshopcreatorpicks #travelmusthaves ,79s,4566,224,38,3.57,37.77,79
maddy.e.ellis,https://www.tiktok.com/@7431003955764544558,https://www.tiktok.com/@/video/7625840672800574734?_r=1,7625840672800574464,I can’t believe I found something that actually helps😳,88s,19700,79,0,4.17,47.99,88
its.kristi.luck,https://www.tiktok.com/@6954832116870726661,https://www.tiktok.com/@/video/7626356588097326350?_r=1,7626356588097326080,A few spitzes of the setting spray and my makeup isn’t going anywhere… #settingspray #makeupspray ,20s,853,1,0,0.0,0.0,20
chavonsade,https://www.tiktok.com/@6813360351690949637,https://www.tiktok.com/@/video/7613871747414101262?_r=1,7613871747414100992,Yellow Set for brightening from Medicube 🫧✨🌞 #tiktokshopcreatorpicks #tiktokshopspringglowup #medicube #medicubeskincare @medicube global @medicube US Store ,22s,123900,884,12,3.68,1000.42,22
sheepybiscuit,https://www.tiktok.com/@7514973837189940270,https://www.tiktok.com/@/video/7612845563104546061?_r=1,7612845563104545792,30pcs for only $10 AND they’re pink 💗🌸 got these makeup brushes for my new vanity and they’re perfect!! - #makeupbrushes #pinkmakeup #cutemakeup #pinkaesthetic #tiktokshop ,13s,104900,7919,40,4.21,16.74,13
zzyytt99,https://www.tiktok.com/@7568771170053571598,https://www.tiktok.com/@/video/7626270613589560607?_r=1,7626270613589560320,#tiktokshop #shopping #fyp #fypシ #onsalenow️️️🔥🔥🔥🔥 ,16s,905,2,0,0.0,0.0,16
health.xtr,https://www.tiktok.com/@7548734409865380877,https://www.tiktok.com/@/video/7622054834933353758?_r=1,7622054834933353472,#fyp #youneedthis #tiktokmademebuyit #youshouldknow #TikTokShop,10s,14300,21,2,4.41,10.5,10
jazzy.xoxo20,https://www.tiktok.com/@6672548193106560006,https://www.tiktok.com/@/video/7620543490618903838?_r=1,7620543490618903552,Pretty #makeuptools #makeuptoolset #makeupbrushset #makeuptok #makeupkit ,27s,16000,250,2,0.0,0.0,27
ebinnewyork,https://www.tiktok.com/@6905013138375951365,https://www.tiktok.com/@/video/7620935996686814478?_r=1,7620935996686814208,"Before the Shoot 🎬✨ Showing how we lay edges with EBIN Smooth, shape, and set with Edge Tamer💁🏾‍♀️ That hold? All day. #ebinnewyork #edgetamer #24houredgetamer #hairrountine #hairtok",23s,363200,3404,162,4.35,13.8,23
nade.fit,https://www.tiktok.com/@6786278008866276358,https://www.tiktok.com/@/video/7614135739684621582?_r=1,7614135739684621312,#makeup #maquillaje #maquillajetutorial #maquillajefacil #base ,46s,1200000,2274,32,5.66,417.76,46
amie_gee23,https://www.tiktok.com/@7298818777202525227,https://www.tiktok.com/@/video/7625971955325242655?_r=1,7625971955325242368,"Replying to @Melissa Lip plumping Medicube PDRN Pink Collagen Capsule Multi Balm stick for lip lines and fine lines around the mouth for smoother-looking lips. This lip plumping Medicube collagen balm stick is made for fine lines around the lips, helping support a smoother, fuller-looking lip area. The multi balm stick is easy to use, hydrating, and great for everyday use—especially if you’re noticing lip lines or texture. Not medical advice. Results may vary. Affiliate link — I may earn a commission. #TikTokShopCreatorPicks #koreanglassskin #fulllips #hollowundereyes #medicubereview",89s,4330,11,1,4.51,20.63,89
yannnique,https://www.tiktok.com/@7091366714566542379,https://www.tiktok.com/@/video/7620581892491840798?_r=1,7620581892491840512,"Korean bodycare is so underrated! Get on it girlies, it's just as good as the face products. #tiktokshopstockup #tiktokshopspringglowup #koreanbodycare #bodycareroutine #summerbodycare",72s,62300,587,25,6.33,132.28,72
lisacozy8,https://www.tiktok.com/@7598538165239153677,https://www.tiktok.com/@/video/7624200780425202975?_r=1,7624200780425202688,"4-in-1 travel bottle is a must-have! Leak-proof with 4 comapartments, fits all toilets, saves half luggage space!#travelessential #travel #tiktokshoprestock #organization #travelhack ",53s,196500,1123,11,3.62,495.2,53
dealsfordayz3,https://www.tiktok.com/@6911145239387620357,https://www.tiktok.com/@/video/7623103160936172813?_r=1,7623103160936172544,Fix your skin first! #rosacea #medicube #tiktokshopspringglowup #rosaceaskincare #koreanskincare ,66s,50300,103,2,3.71,256.48,66
yczfragrance08,https://www.tiktok.com/@7558762929077388343,https://www.tiktok.com/@/video/7624642952652016910?_r=1,7624642952652016640,🦋Among a thousand similar scents... she'll know which one was yours. @Y CZ #tiktokholidayhaul #fragrance #sexyfragrance #perfume #ycz,36s,70000,207,6,5.7,159.23,36
aillsaglam,https://www.tiktok.com/@7534614470547506190,https://www.tiktok.com/@/video/7626025025505725709?_r=1,7626025025505725440,"For the girls who love a warm, cozy nude set ☁️🤎#gelxnails #nailideas #nudenails #diynailsathome #aillsarealfitnailtips ",31s,17900,232,2,5.56,85.83,31
chosensofia,https://www.tiktok.com/@7158061640822391854,https://www.tiktok.com/@/video/7626144120364354830?_r=1,7626144120364354560,@VT Cosmetics US Spicy lips served to @Gringarican 🔥💋#vtcosmetics #lipplumper #lipfiller #buynow #recommendations ,108s,956,9,2,4.35,8.69,108
andremnjrws,https://www.tiktok.com/@7530221721972048909,https://www.tiktok.com/@/video/7621124382160702734?_r=1,7621124382160702464,This heals me #fyp #bathbomb #tiktok#showertok #showersteamer ,27s,77500,640,19,6.52,95.71,27
tessonnn,https://www.tiktok.com/@7166741481843360811,https://www.tiktok.com/@/video/7626041691539131662?_r=1,7626041691539131392,#fairylashes #mangalashes ,8s,15400,219,8,4.62,34.58,8
goddessoftheseabeauty,https://www.tiktok.com/@6919462495339070469,https://www.tiktok.com/@/video/7625788633483578654?_r=1,7625788633483578368,,81s,83400,1194,32,3.85,521.82,81
jeselleleigh,https://www.tiktok.com/@6755236490030400518,https://www.tiktok.com/@/video/7624939493199531278?_r=1,7624939493199531008,The Little Mermaid makeup collection by ColourPop is actually my dream come to life🧜🏼‍♀️🐠🦀🫧 @ColourPop Cosmetics #ColourPop #ColourPopCosmetics #mermaid #tiktokshopcreatorpicks #newmakeup ,41s,9778,286,4,0.0,0.0,41
queenxmelissa,https://www.tiktok.com/@6930452181666153478,https://www.tiktok.com/@/video/7626235684818357535?_r=1,7626235684818357248,Rose Robe & Toasty Taupe #nyxcosmetics #nyxcosmeticspartner #matte #lipcombos ,42s,11100,109,1,0.0,0.0,42
lalalakays,https://www.tiktok.com/@6879105983311299586,https://www.tiktok.com/@/video/7620976115292572941?_r=1,7620976115292572672,Try before buy full size #DrGroot Essentials Mini Kit 💜 #shampoo #conditioner #hairloss #TiktokShopSpringGlowUp ,10s,106200,276,1,3.77,61.6,10
skincarepronikki,https://www.tiktok.com/@7215285688273798187,https://www.tiktok.com/@/video/7621539928022764814?_r=1,7621539928022764544,Humbled every morning 😆😭 #tiktokshopspringglowup #tiktokshopcreatorpicks #greenish #medicube @medicube US Store ,111s,83400,456,24,3.74,156.52,111
sadiemae09,https://www.tiktok.com/@7249416494600324138,https://www.tiktok.com/@/video/7625756727396388109?_r=1,7625756727396387840,Love this wave iron and the quick style it gives! @TYMO BEAUTY US #curlstymo #tymobeauty #tymorovycompact ,39s,14400,118,3,3.85,13.0,39
honeymistyxx,https://www.tiktok.com/@7389443220550222891,https://www.tiktok.com/@/video/7605126383102201119?_r=1,7605126383102200832,It changes color as your lips warm up😻👏🏻🫦🌟👇🏻👇🏻👇🏻#lipbalm #lipgloss #colorchanginglipstick #makeup #beauty ,25s,90200,441,3,3.62,17.92,25
novoovo_marketing_usa,https://www.tiktok.com/@7517604463148221453,https://www.tiktok.com/@/video/7625212640666701086?_r=1,7625212640666700800,Classic Black French VS Classic White French ✨FL#nail #insponails #pressonnails #toenail #pedicure ,11s,45800,650,2,6.14,42.94,11
raulestebanruiz,https://www.tiktok.com/@6808678415730803718,https://www.tiktok.com/@/video/7623446716338965773?_r=1,7623446716338965504,"Deos es el suplemento indicado para ayudar a eliminar los malos olores en la boca, las axilas, partes íntimas y cuerpo en general gracias a sus ingredientes de clorofila, menta y perejil #deos #deossupplement #clorofila #chlorophyll #malaliento ",46s,169500,267,3,3.88,1955.34,46
miller.mr1,https://www.tiktok.com/@7553959797949187085,https://www.tiktok.com/@/video/7619331239769689358?_r=1,7619331239769689088,Stop using cotton swabs! They’re dangerous & push earwax deeper!#ttslevelup #cleaning #deepclean #springtok #tiktokshopspringsale,30s,217900,463,14,5.26,220.18,30
theblondetennessean,https://www.tiktok.com/@7227575653935383594,https://www.tiktok.com/@/video/7624373914071731469?_r=1,7624373914071731200,"If you were ever a victim of the broken curling iron saga, then you’re gonna want to grab the T3 curling iron. The curl holds longer the price is similar and this one is not breaking.!!! #curlingiron  #t3curlingiron  #salon ",20s,19300,80,10,4.85,212.85,20
withmarianaa,https://www.tiktok.com/@6808761738122494981,https://www.tiktok.com/@/video/7614733662273146143?_r=1,7614733662273145856,For every hair type ☺️ #ukliss #airwrap #blowoututorial #hairtok ,44s,43600,195,7,5.4,48.57,44
pnw.bethany,https://www.tiktok.com/@6943035971886171141,https://www.tiktok.com/@/video/7613437211723205919?_r=1,7613437211723205632,NEW from @e.l.f. Cosmetics The Liquid Velvet Eyeshadow is perfect for all day wear!! #elfyeah #liquideyeshadow #neutraleyeshadow #drugstoremakeup #affordablemakeup ,107s,42200,325,10,3.57,13.44,107
shimmersmiles777,https://www.tiktok.com/@6813554418828493830,https://www.tiktok.com/@/video/7613965541522328863?_r=1,7613965541522328576,,58s,92300,507,6,3.95,171.64,58
tlynanxio,https://www.tiktok.com/@7525679025940890654,https://www.tiktok.com/@/video/7623620993805815071?_r=1,7623620993805814784,"I’m so happy I can finally get my hands on the original formula of the Beauty of Joseon Rice + Probiotics SPF 50 again because nothing hits the same. This is that lightweight Korean sunscreen that gives you real SPF 50 protection while doubling as skincare. It hydrates, smooths, and leaves your skin with that natural glass skin glow without any white cast or heaviness. It wears beautifully under makeup but honestly looks just as good on bare skin. If you’re looking for a daily sunscreen that feels like a moisturizer, supports your skin barrier, and gives that healthy, dewy finish, this is one I will always go back to. #koreansunscreen #spf50 #glassskin #dewyskin #skincareroutine",65s,9090,60,3,5.44,18.39,65
hewoeatmyfeet,https://www.tiktok.com/@7536348397562053663,https://www.tiktok.com/@/video/7618762202035555615?_r=1,7618762202035555328,,11s,1700000,92600,48,4.6,336.31,11
anabelsoto93,https://www.tiktok.com/@6791992774826034182,https://www.tiktok.com/@/video/7626195704402201869?_r=1,7626195704402201600,MAC Velvet teddy is still that girl!😍 #maccosmetics #maclipstick #tiktokshopstockup #tiktokshopmothersday #TikTokShopCreatorPicks ,44s,1539,22,5,0.0,0.0,44
skincarewithshelbs,https://www.tiktok.com/@6919491409616602118,https://www.tiktok.com/@/video/7626068531523652877?_r=1,7626068531523652608,WE FINALLY HAVE THE @Summer Fridays TOASTED MARSHMALLOW sold individually!!!  #tiktokshoptuesday #tiktokshop #summerfridays #bestlippies #summerfridayslipbalm ,77s,21100,600,36,5.96,62.26,77
lesliesoldano,https://www.tiktok.com/@7332240100581704747,https://www.tiktok.com/@/video/7605631774022012173?_r=1,7605631774022011904,PUR 4 in 1 mineral powder foundation that is also hydrating so doesn’t cake or settle and has amazing coverage #powderfoundation #makeupformatureskin #powdermakeup #tiktokshopcreatorpicks ,37s,34900,110,9,3.99,16.56,37
camielovedson,https://www.tiktok.com/@6786806421733442566,https://www.tiktok.com/@/video/7608376942345178398?_r=1,7608376942345178112,#haitian #ayisyentiktok🇭🇹 #fyp #ayisyenmwenye #haitiantiktok509 ,53s,41600,214,6,5.71,48.3,53
cali.gurl444,https://www.tiktok.com/@6810115890174084102,https://www.tiktok.com/@/video/7616983273821981983?_r=1,7616983273821981696,Getting my face snatched and listening to this music  Is low key therapy !! Consistency is key 🔑  🎼 ✨ #facemassager #facemassagetips #lymphaticdrainage ,35s,148900,968,71,4.17,412.54,35
